author_id,created_at,tweet_id,in_reply_to_user_id,referenced_tweets_type,referenced_tweets_id,conversation_id
250794442,2022-05-15 17:07:13+00:00,1525885525009342466,,,,1525885525009342466
1234848534165364745,2022-05-15 17:07:10+00:00,1525885510874456070,1318820799990669314,replied_to,1525636029256024064,1525636029256024064
1522177933691219973,2022-05-15 17:07:06+00:00,1525885497880588296,,,,1525885497880588296
1546430647,2022-05-15 17:07:05+00:00,1525885492558012417,,,,1525885492558012417
1525858583728070656,2022-05-15 17:07:03+00:00,1525885485041827840,,,,1525885485041827840
1446727746831458306,2022-05-15 17:07:03+00:00,1525885483523444736,,,,1525885483523444736
1408432526209789956,2022-05-15 17:07:01+00:00,1525885476388888579,269816068,,,1525885476388888579
1059509458299166721,2022-05-15 17:06:52+00:00,1525885438728314882,,,,1525885438728314882
1374503136,2022-05-15 17:06:51+00:00,1525885433330155521,1260225503946067976,,,1525885433330155521
2484583737,2022-05-15 17:06:48+00:00,1525885421636435972,,,,1525885421636435972
852941743,2022-05-15 17:06:48+00:00,1525885419568738304,,,,1525885419568738304
2314057826,2022-05-15 17:06:47+00:00,1525885416146083841,,,,1525885416146083841
198922852,2022-05-15 17:06:46+00:00,1525885412329369601,1353689254333980672,replied_to,1525861682987339776,1525861682987339776
1084184873080885248,2022-05-15 17:06:43+00:00,1525885401050894336,1392161500127694855,replied_to,1525884012283273217,1525884012283273217
1414357183773487104,2022-05-15 17:06:43+00:00,1525885399868092424,,,,1525885399868092424
1378074838930165765,2022-05-15 17:06:42+00:00,1525885396470665218,,,,1525885396470665218
1523391756506746880,2022-05-15 17:06:38+00:00,1525885378896531460,,,,1525885378896531460
43340269,2022-05-15 17:06:37+00:00,1525885374693875712,,,,1525885374693875712
128353651,2022-05-15 17:06:37+00:00,1525885374370922499,,,,1525885374370922499
429404903,2022-05-15 17:06:36+00:00,1525885370767921153,,,,1525885370767921153
103289920,2022-05-15 17:06:36+00:00,1525885368624726016,,,,1525885368624726016
16258124,2022-05-15 17:06:35+00:00,1525885364510019584,,,,1525885364510019584
1154332360135065601,2022-05-15 17:06:28+00:00,1525885338203619328,,,,1525885338203619328
1525882047587397632,2022-05-15 17:06:25+00:00,1525885323984642049,,,,1525885323984642049
22758370,2022-05-15 17:06:24+00:00,1525885321849847809,,,,1525885321849847809
1496830511779651584,2022-05-15 17:06:23+00:00,1525885313662476288,,,,1525885313662476288
1351455177442791424,2022-05-15 17:06:17+00:00,1525885289025216513,,,,1525885289025216513
1446727746831458306,2022-05-15 17:06:14+00:00,1525885277453139968,,,,1525885277453139968
924230582489550848,2022-05-15 17:06:12+00:00,1525885270440169472,,,,1525885270440169472
21852317,2022-05-15 17:06:11+00:00,1525885263527952391,,,,1525885263527952391
1226897550957056001,2022-05-15 17:06:08+00:00,1525885253574860801,,,,1525885253574860801
131247137,2022-05-15 17:06:08+00:00,1525885251058339840,,,,1525885251058339840
193626721,2022-05-15 17:06:06+00:00,1525885242959089664,,,,1525885242959089664
107028724,2022-05-15 17:06:05+00:00,1525885239075160067,,,,1525885239075160067
193627515,2022-05-15 17:06:04+00:00,1525885236051156994,,,,1525885236051156994
102687520,2022-05-15 17:06:03+00:00,1525885229826703363,,,,1525885229826703363
631173103,2022-05-15 17:06:01+00:00,1525885222281158656,,,,1525885222281158656
1446727746831458306,2022-05-15 17:06:00+00:00,1525885218858614784,,,,1525885218858614784
1265973912984305664,2022-05-15 17:06:00+00:00,1525885217344475136,,,,1525885217344475136
1354348246815170560,2022-05-15 17:05:57+00:00,1525885207362117633,,,,1525885207362117633
1520461506533597187,2022-05-15 17:05:55+00:00,1525885199946588162,,,,1525885199946588162
1047763785761607680,2022-05-15 17:05:55+00:00,1525885196498788357,,,,1525885196498788357
1069246516295073794,2022-05-15 17:05:53+00:00,1525885188252782592,,,,1525885188252782592
1460611925906182145,2022-05-15 17:05:52+00:00,1525885185669091331,,,,1525885185669091331
1462522485514113031,2022-05-15 17:05:52+00:00,1525885185107054595,,,,1525885185107054595
1245027674717913090,2022-05-15 17:05:48+00:00,1525885168166260736,,,,1525885168166260736
1203166036847218689,2022-05-15 17:05:48+00:00,1525885168078270465,4860048994,replied_to,1525740483581984768,1525740483581984768
17634874,2022-05-15 17:05:47+00:00,1525885164970188801,,,,1525885164970188801
1346508419411419136,2022-05-15 17:05:45+00:00,1525885158204882952,,,,1525885158204882952
157929867,2022-05-15 17:05:43+00:00,1525885147572215810,,,,1525885147572215810
895715370,2022-05-15 17:05:42+00:00,1525885144007069698,,,,1525885144007069698
944192422220894209,2022-05-15 17:05:41+00:00,1525885138051256324,,,,1525885138051256324
546883857,2022-05-15 17:05:40+00:00,1525885135270432768,,,,1525885135270432768
313565364,2022-05-15 17:05:39+00:00,1525885130295894016,,,,1525885130295894016
215954645,2022-05-15 17:05:37+00:00,1525885121500528641,,,,1525885121500528641
3253847427,2022-05-15 17:05:36+00:00,1525885119885721602,,,,1525885119885721602
52477977,2022-05-15 17:05:36+00:00,1525885119541784577,,,,1525885119541784577
237151301,2022-05-15 17:05:35+00:00,1525885112574955526,,,,1525885112574955526
1434642824461438977,2022-05-15 17:05:34+00:00,1525885111044030467,,,,1525885111044030467
1164495193032351744,2022-05-15 17:05:34+00:00,1525885108569489416,,,,1525885108569489416
1520793702259736577,2022-05-15 17:05:32+00:00,1525885102361919488,,,,1525885102361919488
1516115331907002371,2022-05-15 17:05:30+00:00,1525885094178725888,,,,1525885094178725888
904330149558185984,2022-05-15 17:05:29+00:00,1525885088709369856,,,,1525885088709369856
972149320437960706,2022-05-15 17:05:29+00:00,1525885087182733312,,,,1525885087182733312
1525031395839528961,2022-05-15 17:05:28+00:00,1525885086922510336,,,,1525885086922510336
1523193923346341891,2022-05-15 17:05:26+00:00,1525885077057576964,,,,1525885077057576964
329561922,2022-05-15 17:05:23+00:00,1525885065598836736,,,,1525885065598836736
114511562,2022-05-15 17:05:22+00:00,1525885061677072384,,,,1525885061677072384
71531999,2022-05-15 17:05:21+00:00,1525885053783494659,,,,1525885053783494659
22910535,2022-05-15 17:05:16+00:00,1525885034380595204,,,,1525885034380595204
297440365,2022-05-15 17:05:16+00:00,1525885032702824450,,,,1525885032702824450
501580513,2022-05-15 17:05:14+00:00,1525885025387945984,,,,1525885025387945984
1479653671118024707,2022-05-15 17:05:10+00:00,1525885007956434944,,,,1525885007956434944
1250846263282741250,2022-05-15 17:05:09+00:00,1525885005037445121,,,,1525885005037445121
1439890501969367043,2022-05-15 17:05:09+00:00,1525885004588494848,,,,1525885004588494848
910938607367671808,2022-05-15 17:04:59+00:00,1525884964209938434,,,,1525884964209938434
1099611796946718720,2022-05-15 17:04:59+00:00,1525884962834087936,,,,1525884962834087936
1436683374089883653,2022-05-15 17:04:57+00:00,1525884956907552768,,,,1525884956907552768
1138378861,2022-05-15 17:04:56+00:00,1525884951291371521,603884167,replied_to,1525876169073205248,1525876169073205248
807213026,2022-05-15 17:04:56+00:00,1525884949273923584,,,,1525884949273923584
1009034761795448833,2022-05-15 17:04:55+00:00,1525884946614738944,,,,1525884946614738944
1389149785026965506,2022-05-15 17:04:52+00:00,1525884932752654337,,,,1525884932752654337
1446727746831458306,2022-05-15 17:04:51+00:00,1525884931288727553,,,,1525884931288727553
1520323810704216064,2022-05-15 17:04:50+00:00,1525884924800159750,,,,1525884924800159750
1518884837540651008,2022-05-15 17:04:50+00:00,1525884924317794304,2697902882,replied_to,1525878534853607424,1525717845816090627
1450832819832430594,2022-05-15 17:04:49+00:00,1525884922036199429,,,,1525884922036199429
138447438,2022-05-15 17:04:48+00:00,1525884918718414853,,,,1525884918718414853
1238791236418445313,2022-05-15 17:04:45+00:00,1525884905145749506,,,,1525884905145749506
340885886,2022-05-15 17:04:45+00:00,1525884904730263552,,,,1525884904730263552
1406105541575839746,2022-05-15 17:04:45+00:00,1525884904566796289,,,,1525884904566796289
750665842908618752,2022-05-15 17:04:44+00:00,1525884901794398214,1359532099,replied_to,1525613660122619906,1525613660122619906
3013145223,2022-05-15 17:04:40+00:00,1525884881909207045,,,,1525884881909207045
1132375632472629248,2022-05-15 17:04:39+00:00,1525884880801959936,1095002070908846082,replied_to,1525868169100988416,1525836390201987073
4189622199,2022-05-15 17:04:39+00:00,1525884878910259200,,,,1525884878910259200
818783716839424000,2022-05-15 17:04:38+00:00,1525884876062334976,,,,1525884876062334976
1281323155575971846,2022-05-15 17:04:38+00:00,1525884875215196164,,,,1525884875215196164
1379537786458492936,2022-05-15 17:04:37+00:00,1525884871264157696,,,,1525884871264157696
1368571984028794888,2022-05-15 17:04:36+00:00,1525884868772646913,1368571984028794888,replied_to,1525884867065565185,1525884864586735623
1368571984028794888,2022-05-15 17:04:36+00:00,1525884867065565185,1368571984028794888,replied_to,1525884864586735623,1525884864586735623
6256362,2022-05-15 17:04:36+00:00,1525884865949929478,,,,1525884865949929478
1368571984028794888,2022-05-15 17:04:35+00:00,1525884864586735623,,,,1525884864586735623
3349794112,2022-05-15 17:04:31+00:00,1525884845154619392,,,,1525884845154619392
118211956,2022-05-15 17:04:30+00:00,1525884843317506048,,,,1525884843317506048
898923488735621120,2022-05-15 17:04:30+00:00,1525884841472008193,1146329871418843136,replied_to,1525612431384379392,1525612431384379392
1088527300046610434,2022-05-15 17:04:28+00:00,1525884835113447428,,,,1525884835113447428
255604586,2022-05-15 17:04:23+00:00,1525884812891930630,,,,1525884812891930630
2808043290,2022-05-15 17:04:23+00:00,1525884812837494788,,,,1525884812837494788
1516040173200551945,2022-05-15 17:04:23+00:00,1525884811881193472,,,,1525884811881193472
1426115614947545091,2022-05-15 17:04:18+00:00,1525884789676511233,,,,1525884789676511233
306411359,2022-05-15 17:04:16+00:00,1525884783880019969,7587032,replied_to,1525883961087361024,1525883961087361024
243554794,2022-05-15 17:04:15+00:00,1525884778477649923,,,,1525884778477649923
